,daft_id,date_entered,views,type,rent,num_bedroom,num_bathroom,available_from,furnished,lease,ber_rating,address,distance_from_city_centre,latitude,longitude,region,url,input_date,property_id
798,216903737,2023-07-06,0,Studio,950.0,0,0," Jul 8th, 2023", Yes, Minimum 1 Year,BER Exempt,"Orwell Park Green, Templeogue, Dublin 6W",6.072486575522035,53.29988,-6.317411,Dublin 6,https://www.daft.ie/for-rent/studio-apartment-orwell-park-green-templeogue-dublin-6w/5331709,2023-07-06,f2e4e36f58de0cb730bf8720e3f05036be2cdc6e3a9ec263bc870353d221be9a
799,216904951,2023-07-06,0,Studio,1863.3333333333333,0,0," Aug 1st, 2023", Yes, Minimum 6 Months,BER Exempt,"Beechwood Lawn, Dun Laoghaire, Co. Dublin",12.341651709474442,53.267438,-6.135649,,https://www.daft.ie/for-rent/studio-apartment-beechwood-lawn-dun-laoghaire-co-dublin/5331868,2023-07-06,ed0e9e565e6203297ce2b751fe1aa496a1ce2a9a19b2635e4b690f1014ef0469
800,216904963,2023-07-06,0,Studio,1048.0,0,0, Immediately, Yes, Minimum 1 Year,BER Exempt,Grosvenor Square,2.356231427058465,53.324717,-6.274531,,https://www.daft.ie/for-rent/studio-apartment-grosvenor-square/5331892,2023-07-06,d2c55075ccbc69a79837408fd5a245390e6f20cc5c3adc7feb714061f82133ba
801,216906581,2023-07-06,0,Apartment,2200.0,2,2," Jul 28th, 2023", Yes, Minimum 1 Year,C2,"Block B, Áras Na Cluaine",7.982466682323841,53.327279,-6.383183,,https://www.daft.ie/for-rent/apartment-block-b-ras-na-cluaine/5331958,2023-07-06,626e9825b2f0965ff28cbc278d46823af9158088d7a28e3a4f4001b0fb300f55
802,216624943,2023-07-06,1923,Studio,1500.0,0,0, Immediately, Yes, Minimum 1 Year,B3,"Flat 5, 86 Grove Park",1.795377007536521,53.329344,-6.26535,,https://www.daft.ie/for-rent/studio-apartment-flat-5-86-grove-park/5303126,2023-07-06,b7061a2cd0fc4ac1135025577d84a29126dab5a4f1693fb48c39d06f6af4d68b
803,216881995,2023-07-06,473,Apartment,3000.0,2,2, Immediately, Yes, Minimum 1 Year,A1,"Westminster Wood, Foxrock, Dublin 18",10.225936830078084,53.272343,-6.174293,Dublin 18,https://www.daft.ie/for-rent/apartment-westminster-wood-foxrock-dublin-18/5329755,2023-07-06,eae064121d535da42cd5fcbe3ebeaefee32c02e41eb115cf82224032e5a6bc07
804,216906592,2023-07-06,0,House,4280.0,3,4, Immediately, Yes, Minimum 1 Year,B3,"7 Saint Andrew Street, Dublin 2",0.4388778548375745,53.343179,-6.261851,Dublin 2,https://www.daft.ie/for-rent/house-7-saint-andrew-street-dublin-2/5331982,2023-07-06,64b483c5267902646b6421abc4e3387fe848754f4d6461691d20ba9ca0755fc3
805,216735901,2023-07-06,2570,Apartment,1800.0,2,2, Immediately, Yes, Minimum 3 Months,C3,"Fortunes Lawn, Citywest, Co. Dublin",12.557450536688748,53.282952,-6.42414,,https://www.daft.ie/for-rent/apartment-fortunes-lawn-citywest-co-dublin/5313955,2023-07-06,945dbac1c624d4d86b8b72cf52bd91e0a3f795b4a01b0bc92c638002b856e6a1
806,216906597,2023-07-06,0,Apartment,4080.0,3,3," Jul 24th, 2023", Yes, Minimum 1 Year,C2,"Apartment 39, Shrewsbury Square, Dublin 4",3.723178197394357,53.326772,-6.22087,Dublin 4,https://www.daft.ie/for-rent/apartment-apartment-39-shrewsbury-square-dublin-4/5331999,2023-07-06,7eafe07f8aa260926434bfee7c5ebacc6e29e28f0c5a8871f55ea5b0bc477d82
807,216608537,2023-07-06,906,Apartment,2350.0,2,1, Immediately, Yes, Minimum 1 Year,C1,"Apartment 6, The Elms, Blackrock, Co. Dublin",7.087988742761152,53.298874,-6.194682,,https://www.daft.ie/for-rent/apartment-apartment-6-the-elms-blackrock-co-dublin/5301370,2023-07-06,522230e2a923c208950a37b954b8bda6bb83a34148ce94c74cccfeb1a24b2765
